category,question_id,question,answer,score
HR,q1,Tell me about yourself.,I am a self-motivated student passionate about web development.,2
HR,q1,Tell me about yourself.,i am a self-motivated bca student passionate about web development,2
HR,q1,Tell me about yourself.,I am a self-motivated BCA student passionate about web development.,2
HR,q1,Tell me about yourself.,I would say that i am a self-motivated bca student passionate about web development.,2
HR,q1,Tell me about yourself.,I am a BCA student.,1
HR,q1,Tell me about yourself.,i am a bca student,1
HR,q1,Tell me about yourself.,am a BCA student.,1
HR,q1,Tell me about yourself.,I would say that i am a bca student.,1
HR,q1,Tell me about yourself.,i am a student,0
HR,q1,Tell me about yourself.,I would say that i am a student.,0
HR,q1,Tell me about yourself.,I am a student.,0
HR,q2,What are your strengths?,i am a good communicator and a quick learner,2
HR,q2,What are your strengths?,I am a good communicator and a quick learner.,2
HR,q2,What are your strengths?,I would say that i am a good communicator and a quick learner.,2
HR,q2,What are your strengths?,am a good communicator and a quick learner.,2
HR,q2,What are your strengths?,I would say that i am honest.,1
HR,q2,What are your strengths?,i am honest,1
HR,q2,What are your strengths?,I am honest.,1
HR,q2,What are your strengths?,I like watching movies.,0
HR,q2,What are your strengths?,i like watching movies,0
HR,q2,What are your strengths?,I would say that i like watching movies.,0
HR,q3,What are your weaknesses?,"One of my weaknesses means that I sometimes focus too much on details, but I’m learning to balance perfection with efficiency by setting clear priorities and timelines.",2
HR,q3,What are your weaknesses?,one of my weaknesses is that i sometimes focus too much on details but i’m learning to balance perfection with efficiency by setting clear priorities and timelines,2
HR,q3,What are your weaknesses?,"I would say that one of my weaknesses is that i sometimes focus too much on details, but i’m learning to balance perfection with efficiency by setting clear priorities and timelines.",2
HR,q3,What are your weaknesses?,"One of my weaknesses is that I sometimes too much details, but I’m learning to balance perfection with efficiency by setting clear priorities and timelines.",2
HR,q3,What are your weaknesses?,"One of my weaknesses is that I sometimes focus too much on details, but I’m learning to balance perfection with efficiency by setting clear priorities and timelines.",2
HR,q3,What are your weaknesses?,"I would say that sometimes get nervous when speaking in front of large groups, but i try to improve by practicing presentations.",1
HR,q3,What are your weaknesses?,"sometimes get nervous when speaking in front of large groups, but I try to improve by practicing presentations.",1
HR,q3,What are your weaknesses?,sometimes get nervous when speaking in front of large groups but i try to improve by practicing presentations,1
HR,q3,What are your weaknesses?,"sometimes nervous speaking in front of large groups, but I try to improve by practicing presentations.",1
HR,q3,What are your weaknesses?,i don’t have any weaknesses,0
HR,q3,What are your weaknesses?,I don’t have any weaknesses.,0
HR,q3,What are your weaknesses?,I don’t any weaknesses.,0
HR,q3,What are your weaknesses?,I would say that i don’t have any weaknesses.,0
HR,q4,Why do you want to work with us?,I would say that your innovation in web development aligns with my career goals.,2
HR,q4,Why do you want to work with us?,Your innovation in web development aligns with my career goals.,2
HR,q4,Why do you want to work with us?,your innovation in web development aligns with my career goals,2
HR,q4,Why do you want to work with us?,I would say that i like your company culture and want a new challenge.,1
HR,q4,Why do you want to work with us?,i like your company culture and want a new challenge,1
HR,q4,Why do you want to work with us?,I like your and want a challenge.,1
HR,q4,Why do you want to work with us?,I like your company culture and want a new challenge.,1
HR,q4,Why do you want to work with us?,i really need a job and the pay looks good,0
HR,q4,Why do you want to work with us?,really need a and looks,0
HR,q4,Why do you want to work with us?,I would say that i really need a job and the pay looks good.,0
HR,q4,Why do you want to work with us?,I really need a job and the pay looks good.,0
HR,q5,Where do you see yourself in 5 years?,Leading impactful projects while mastering advanced full-stack development skills.,2
HR,q5,Where do you see yourself in 5 years?,Leading impactful projects while advanced full-stack development skills.,2
HR,q5,Where do you see yourself in 5 years?,I would say that leading impactful projects while mastering advanced full-stack development skills.,2
HR,q5,Where do you see yourself in 5 years?,leading impactful projects while mastering advanced full-stack development skills,2
HR,q5,Where do you see yourself in 5 years?,in a senior role here having grown with the company,1
HR,q5,Where do you see yourself in 5 years?,"I would say that in a senior role here, having grown with the company.",1
HR,q5,Where do you see yourself in 5 years?,"In a senior role here, having grown with the company.",1
HR,q5,Where do you see yourself in 5 years?,"In a senior role here, having grown with the",1
HR,q5,Where do you see yourself in 5 years?,I hope to be retired running my own business.,0
HR,q5,Where do you see yourself in 5 years?,I would say that i hope to be retired or running my own business.,0
HR,q5,Where do you see yourself in 5 years?,i hope to be retired or running my own business,0
HR,q5,Where do you see yourself in 5 years?,I hope to be retired or running my own business.,0
HR,q6,Describe a challenge you faced and how you handled it.,in a recent research project i struggled with organizing massive amounts of data on digital well-being to handle it i implemented a structured categorization system and used project management tools to break the data into manageable themes this turned a chaotic workflow into a clear academic structure ensuring the paper stayed on track and met every deadline,2
HR,q6,Describe a challenge you faced and how you handled it.,"In a recent research project, I struggled with organizing massive amounts of data on digital well-being. To handle it, I implemented a structured categorization system and used project management tools to break the data into manageable themes. This turned a chaotic workflow into a clear, academic structure, ensuring the paper stayed on track and met every deadline.",2
