category,question_id,question,answer,score
HR,q1,Tell me about yourself.,I am a self-motivated BCA student passionate about web development.,2
HR,q1,Tell me about yourself.,I am a BCA student.,1
HR,q1,Tell me about yourself.,I am a student.,0
HR,q2,What are your strengths?,I am a good communicator and a quick learner.,2
HR,q2,What are your strengths?,I am honest.,1
HR,q2,What are your strengths?,I like watching movies.,0
HR,q3,What are your weaknesses?,"One of my weaknesses is that I sometimes focus too much on details, but I’m learning to balance perfection with efficiency by setting clear priorities and timelines.",2
HR,q3,What are your weaknesses?,"sometimes get nervous when speaking in front of large groups, but I try to improve by practicing presentations.",1
HR,q3,What are your weaknesses?,I don’t have any weaknesses.,0
HR,q4,Why do you want to work with us?,Your innovation in web development aligns with my career goals.,2
HR,q4,Why do you want to work with us?,I like your company culture and want a new challenge.,1
HR,q4,Why do you want to work with us?,I really need a job and the pay looks good.,0
HR,q5,Where do you see yourself in 5 years?,Leading impactful projects while mastering advanced full-stack development skills.,2
HR,q5,Where do you see yourself in 5 years?,"In a senior role here, having grown with the company.",1
HR,q5,Where do you see yourself in 5 years?,I hope to be retired or running my own business.,0
HR,q6,Describe a challenge you faced and how you handled it.,"In a recent research project, I struggled with organizing massive amounts of data on digital well-being. To handle it, I implemented a structured categorization system and used project management tools to break the data into manageable themes. This turned a chaotic workflow into a clear, academic structure, ensuring the paper stayed on track and met every deadline.",2
HR,q6,Describe a challenge you faced and how you handled it.,"""I once faced a very tight deadline for a report on cyberbullying. I handled it by cutting out distractions and working extra hours until it was finished. It was stressful, but I learned that staying focused and managing my time better is the only way to get through heavy workloads without losing quality.",1
HR,q6,Describe a challenge you faced and how you handled it.,"I had a difficult teammate who wasn't doing any of their work. I basically ended up doing the whole project myself because I didn't want to fail. I handled it by just staying quiet and finishing it, but I made sure to tell the boss later that I did all the work.",0
HR,q7,How do you handle stress and pressure?,I break the project into small wins. It keeps me from feeling overwhelmed and ensures the quality doesn't drop when things get fast.,2
HR,q7,How do you handle stress and pressure?,I stay organized and focus on my checklist. Taking short breaks also helps me keep a clear head during busy weeks.,1
HR,q7,How do you handle stress and pressure?,I don't really get stressed. I just work faster and stay late until the work is finished.,0
HR,q8,Describe a time you worked successfully in a team.,"In my college project, I worked with four teammates to build a web app. I handled the frontend and ensured good communication, which helped us complete the project on time.",2
HR,q8,Describe a time you worked successfully in a team.,I usually work well with others when given clear tasks.,1
HR,q8,Describe a time you worked successfully in a team.,I prefer working alone; I don’t like group work.,0
HR,q9,Why should we hire you?,I have the right combination of technical skills and eagerness to learn. I’m confident that I can adapt quickly and contribute to your team’s success,2
HR,q9,Why should we hire you?,Because I’ll try to do my best and follow instructions.,1
HR,q9,Why should we hire you?,Because I really need a job.,0
